1  DECEMBRE 2017
------------------------------
14h00 : LIBRE
14h15 : LIBRE
15h30 : LIBRE
15h00 : LIBRE
15h00 : LIBRE
15h15 : LIBRE
16h30 : LIBRE
16h00 : LIBRE
16h00 : LIBRE
16h15 : LIBRE
17h30 : LIBRE
17h00 : LIBRE
17h00 : LIBRE
17h15 : LIBRE
18h30 : LIBRE
18h00 : LIBRE
18h00 : LIBRE
18h15 : LIBRE
19h30 : LIBRE
19h00 : LIBRE
19h00 : LIBRE
19h15 : LIBRE
20h30 : LIBRE
20h00 : LIBRE
2  DECEMBRE 2017
------------------------------
14h00 : LIBRE
14h15 : LIBRE
15h30 : LIBRE
15h00 : LIBRE
15h00 : LIBRE
15h15 : LIBRE
16h30 : LIBRE
16h00 : LIBRE
16h00 : LIBRE
16h15 : LIBRE
17h30 : LIBRE
17h00 : LIBRE
17h00 : LIBRE
17h15 : LIBRE
18h30 : LIBRE
18h00 : LIBRE
18h00 : LIBRE
18h15 : LIBRE
19h30 : LIBRE
19h00 : LIBRE
19h00 : LIBRE
19h15 : LIBRE
20h30 : LIBRE
20h00 : LIBRE
3  DECEMBRE 2017
------------------------------
14h00 : LIBRE
14h15 : LIBRE
15h30 : LIBRE
15h00 : LIBRE
15h00 : LIBRE
15h15 : LIBRE
16h30 : LIBRE
16h00 : LIBRE
16h00 : LIBRE
16h15 : LIBRE
17h30 : LIBRE
17h00 : LIBRE
17h00 : LIBRE
17h15 : LIBRE
18h30 : LIBRE
18h00 : LIBRE
18h00 : LIBRE
18h15 : LIBRE
19h30 : LIBRE
19h00 : LIBRE
19h00 : LIBRE
19h15 : LIBRE
20h30 : LIBRE
20h00 : LIBRE
4  DECEMBRE 2017
------------------------------
14h00 : LIBRE
14h15 : LIBRE
15h30 : LIBRE
15h00 : LIBRE
15h00 : LIBRE
15h15 : LIBRE
16h30 : LIBRE
16h00 : LIBRE
16h00 : LIBRE
16h15 : LIBRE
17h30 : LIBRE
17h00 : LIBRE
17h00 : LIBRE
